system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
0000000000000000005c_0,8803,270.4660145,1840.14,20760.496,37878,37,61.936905,11.7308,PSA0078-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,8885,266.4668439,1904.7117,21134.518,64925,107,59.73955,9.261373,PSA0331-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,8839,270.4997178,1817.2378,20623.783,19569,53,62.76225,11.809204,PSA0401-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,9679,266.5167147,1935.4069,21306.791,94139,87.5,63.072525,14.554067,Pasture11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,9471,254.5657443,2001.8702,21668.77,24006,372.5,58.233185,10.915335,RefForest5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,9519,263.3509879,1947.9286,21376.467,58973,125.5,61.416225,14.75526,PSA0192-2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,9293,268.2838231,1933.8645,21297.7,169722,53.5,61.603863,11.883265,PSA0049-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,9523,268.5331475,1917.0602,21204.617,52199,44,62.32261,14.022539,Pasture12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,9858,260.6495813,2163.442,22487.4,114870,175,60.586853,18.662054,PSA0397-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,10052,256.5504131,2238.9207,22841.527,126345,238,59.112667,19.002586,PSA0189-2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,10241,262.5668536,2124.1443,22296.22,100848,136,61.19952,19.005163,PSA0375-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
